estimate,term,conf.high,conf.low,std.error,statistic,period,Cohort,N,Outcome,Model
-2.2543837353431417,PERIOD-2,0.8666104614025825,-5.375377932088866,1.59237323816342,-1.4157382712254436,-2,2.Diabetic (N=5508),5508,MONTHLY_OVERALL_OOP,2. Random individual effect
4.384557295082417,PERIOD0,7.501259909571724,1.2678546805931106,1.5901836151446966,2.757264792143799,0,2.Diabetic (N=5508),5508,MONTHLY_OVERALL_OOP,2. Random individual effect
-5.482400381442979,PERIOD1,-1.0195189138019058,-9.94528184908405,2.2770221814501252,-2.40770618139148,1,2.Diabetic (N=5508),5508,MONTHLY_OVERALL_OOP,2. Random individual effect
0,PERIOD-1,NA,NA,NA,NA,-1,2.Diabetic (N=5508),5508,MONTHLY_OVERALL_OOP,2. Random individual effect
2.6159945098242905,PERIOD-2,14.65533131374845,-9.42334229409987,6.142631649810362,0.4258752044663223,-2,3.Non-diabetic (N=306),306,MONTHLY_OVERALL_OOP,2. Random individual effect
7.926425397636854,PERIOD0,19.97806265029701,-4.125211855023301,6.148907504281679,1.289078652121118,0,3.Non-diabetic (N=306),306,MONTHLY_OVERALL_OOP,2. Random individual effect
-11.611542615391706,PERIOD1,5.705632735028491,-28.928717965811902,8.835455899708297,-1.3141984688956527,1,3.Non-diabetic (N=306),306,MONTHLY_OVERALL_OOP,2. Random individual effect
0,PERIOD-1,NA,NA,NA,NA,-1,3.Non-diabetic (N=306),306,MONTHLY_OVERALL_OOP,2. Random individual effect
-257.28389986552213,PERIOD-2,-182.34336162801455,-332.2244381030297,38.235671077952965,-6.728897195003708,-2,1.Overall (N=5814),5814,MONTHLY_OVERALL_TOTAL_PAY_NON_SEMAGLUTIDE,2. Random individual effect
242.44669202432837,PERIOD0,317.2736036600193,167.61978038863742,38.1776972566415,6.350479715801917,0,1.Overall (N=5814),5814,MONTHLY_OVERALL_TOTAL_PAY_NON_SEMAGLUTIDE,2. Random individual effect
601.2984115948134,PERIOD1,709.7882666210902,492.8085565685365,55.35298397421127,10.862980970907655,1,1.Overall (N=5814),5814,MONTHLY_OVERALL_TOTAL_PAY_NON_SEMAGLUTIDE,2. Random individual effect
0,PERIOD-1,NA,NA,NA,NA,-1,1.Overall (N=5814),5814,MONTHLY_OVERALL_TOTAL_PAY_NON_SEMAGLUTIDE,2. Random individual effect
-249.03790363987187,PERIOD-2,-172.99077206947732,-325.0850352102664,38.800269887735,-6.418458025174569,-2,2.Diabetic (N=5508),5508,MONTHLY_OVERALL_TOTAL_PAY_NON_SEMAGLUTIDE,2. Random individual effect
236.91084431383283,PERIOD0,312.8380845916205,160.98360403604516,38.739099736878885,6.115548526500687,0,2.Diabetic (N=5508),5508,MONTHLY_OVERALL_TOTAL_PAY_NON_SEMAGLUTIDE,2. Random individual effect
591.0877154766212,PERIOD1,701.6917722972606,480.4836586559817,56.43167818034934,10.474395490907977,1,2.Diabetic (N=5508),5508,MONTHLY_OVERALL_TOTAL_PAY_NON_SEMAGLUTIDE,2. Random individual effect
0,PERIOD-1,NA,NA,NA,NA,-1,2.Diabetic (N=5508),5508,MONTHLY_OVERALL_TOTAL_PAY_NON_SEMAGLUTIDE,2. Random individual effect
-142.9622818588686,PERIOD-2,253.8378004265856,-539.7623641443229,202.4527416908488,-0.706151374710332,-2,3.Non-diabetic (N=306),306,MONTHLY_OVERALL_TOTAL_PAY_NON_SEMAGLUTIDE,2. Random individual effect
131.35811236239306,PERIOD0,529.3343208396267,-266.61809611484057,203.05281710093618,0.6469159809641835,0,3.Non-diabetic (N=306),306,MONTHLY_OVERALL_TOTAL_PAY_NON_SEMAGLUTIDE,2. Random individual effect
331.0118283380808,PERIOD1,870.6844926086849,-208.66083593252324,275.34825564524317,1.2021569832080368,1,3.Non-diabetic (N=306),306,MONTHLY_OVERALL_TOTAL_PAY_NON_SEMAGLUTIDE,2. Random individual effect
0,PERIOD-1,NA,NA,NA,NA,-1,3.Non-diabetic (N=306),306,MONTHLY_OVERALL_TOTAL_PAY_NON_SEMAGLUTIDE,2. Random individual effect
0.8013128210605892,PERIOD-2,3.735210075714543,-2.132584433593365,1.496913860558746,0.535309908054086,-2,1.Overall (N=5814),5814,MONTHLY_OVERALL_OOP_NON_SEMAGLUTIDE,2. Random individual effect
-4.385315712692392,PERIOD0,-1.4551160999877903,-7.3155153253969925,1.4950272738772972,-2.933268034180567,0,1.Overall (N=5814),5814,MONTHLY_OVERALL_OOP_NON_SEMAGLUTIDE,2. Random individual effect
-6.647039903006538,PERIOD1,-2.478348877907761,-10.815730928105316,2.126922258766427,-3.1251917532997613,1,1.Overall (N=5814),5814,MONTHLY_OVERALL_OOP_NON_SEMAGLUTIDE,2. Random individual effect
0,PERIOD-1,NA,NA,NA,NA,-1,1.Overall (N=5814),5814,MONTHLY_OVERALL_OOP_NON_SEMAGLUTIDE,2. Random individual effect
0.8378452857247057,PERIOD-2,3.875950549918899,-2.200259978469487,1.5500821893455088,0.5405166845239794,-2,2.Diabetic (N=5508),5508,MONTHLY_OVERALL_OOP_NON_SEMAGLUTIDE,2. Random individual effect
-4.834701655286823,PERIOD0,-1.800554532460343,-7.868848778113303,1.5480626923552914,-3.1230658029301726,0,2.Diabetic (N=5508),5508,MONTHLY_OVERALL_OOP_NON_SEMAGLUTIDE,2. Random individual effect
-7.360172560550856,PERIOD1,-3.042552092945483,-11.677793028156229,2.2029080644655785,-3.34111653558108,1,2.Diabetic (N=5508),5508,MONTHLY_OVERALL_OOP_NON_SEMAGLUTIDE,2. Random individual effect
0,PERIOD-1,NA,NA,NA,NA,-1,2.Diabetic (N=5508),5508,MONTHLY_OVERALL_OOP_NON_SEMAGLUTIDE,2. Random individual effect
6.068494320369364,PERIOD-2,17.497740373878734,-5.360751733140004,5.831355139003475,1.040666221780897,-2,3.Non-diabetic (N=306),306,MONTHLY_OVERALL_OOP_NON_SEMAGLUTIDE,2. Random individual effect
-3.974434976563924,PERIOD0,7.467538054585429,-15.416408007713276,5.8378486142613735,-0.6808047346165698,0,3.Non-diabetic (N=306),306,MONTHLY_OVERALL_OOP_NON_SEMAGLUTIDE,2. Random individual effect
-8.22552684944577,PERIOD1,8.178327597892062,-24.6293812967836,8.369467284465095,-0.9828017208112517,1,3.Non-diabetic (N=306),306,MONTHLY_OVERALL_OOP_NON_SEMAGLUTIDE,2. Random individual effect
0,PERIOD-1,NA,NA,NA,NA,-1,3.Non-diabetic (N=306),306,MONTHLY_OVERALL_OOP_NON_SEMAGLUTIDE,2. Random individual effect
-80.38031607274849,PERIOD-2,-43.601752654382494,-117.15887949111448,18.764917982407134,-4.283542094247801,-2,1.Overall (N=5814),5814,MONTHLY_TOTAL_PAY_OUTPATIENT_SERVICE,2. Random individual effect
96.21706190615453,PERIOD0,132.92433172145837,59.509792090850674,18.728543026732186,5.137455795083424,0,1.Overall (N=5814),5814,MONTHLY_TOTAL_PAY_OUTPATIENT_SERVICE,2. Random individual effect
242.91308224717235,PERIOD1,297.75663687642924,188.06952761791544,27.981919597429282,8.681072840674195,1,1.Overall (N=5814),5814,MONTHLY_TOTAL_PAY_OUTPATIENT_SERVICE,2. Random individual effect
0,PERIOD-1,NA,NA,NA,NA,-1,1.Overall (N=5814),5814,MONTHLY_TOTAL_PAY_OUTPATIENT_SERVICE,2. Random individual effect
-85.82762270055758,PERIOD-2,-47.460386050696975,-124.1948593504182,19.575480443771664,-4.384445273110289,-2,2.Diabetic (N=5508),5508,MONTHLY_TOTAL_PAY_OUTPATIENT_SERVICE,2. Random individual effect
100.88816659829027,PERIOD0,139.18287621178504,62.5934569847955,19.53847617382695,5.163563714013505,0,2.Diabetic (N=5508),5508,MONTHLY_TOTAL_PAY_OUTPATIENT_SERVICE,2. Random individual effect
247.35294582703156,PERIOD1,304.6045000670939,190.1013915869692,29.210513403131554,8.467942429266367,1,2.Diabetic (N=5508),5508,MONTHLY_TOTAL_PAY_OUTPATIENT_SERVICE,2. Random individual effect
0,PERIOD-1,NA,NA,NA,NA,-1,2.Diabetic (N=5508),5508,MONTHLY_TOTAL_PAY_OUTPATIENT_SERVICE,2. Random individual effect
50.42497088758533,PERIOD-2,160.4613968190771,-59.61145504390642,56.14206526214005,0.8981673661654536,-2,3.Non-diabetic (N=306),306,MONTHLY_TOTAL_PAY_OUTPATIENT_SERVICE,2. Random individual effect
-6.291484653148441,PERIOD0,103.92925776287396,-116.51222706917085,56.23610601288064,-0.11187624996132206,0,3.Non-diabetic (N=306),306,MONTHLY_TOTAL_PAY_OUTPATIENT_SERVICE,2. Random individual effect
55.375676889755944,PERIOD1,211.10623989379286,-100.35488611428099,79.45582889911232,0.6969366207238019,1,3.Non-diabetic (N=306),306,MONTHLY_TOTAL_PAY_OUTPATIENT_SERVICE,2. Random individual effect
0,PERIOD-1,NA,NA,NA,NA,-1,3.Non-diabetic (N=306),306,MONTHLY_TOTAL_PAY_OUTPATIENT_SERVICE,2. Random individual effect
-2.5076115022251235,PERIOD-2,-0.8086652834987664,-4.206557720951481,0.8668252233854441,-2.8928686366918104,-2,1.Overall (N=5814),5814,MONTHLY_OOP_OUTPATIENT_SERVICE,2. Random individual effect
4.270116113497089,PERIOD0,5.96725605146343,2.572976175530748,0.8659036346346998,4.93139876390348,0,1.Overall (N=5814),5814,MONTHLY_OOP_OUTPATIENT_SERVICE,2. Random individual effect
3.099406211798659,PERIOD1,5.4779381636273214,0.7208742599699973,1.2135590095482462,2.553980636633755,1,1.Overall (N=5814),5814,MONTHLY_OOP_OUTPATIENT_SERVICE,2. Random individual effect
0,PERIOD-1,NA,NA,NA,NA,-1,1.Overall (N=5814),5814,MONTHLY_OOP_OUTPATIENT_SERVICE,2. Random individual effect
-2.7708100203962127,PERIOD-2,-1.0227270514464422,-4.518892989345983,0.8918954545789751,-3.1066533708305433,-2,2.Diabetic (N=5508),5508,MONTHLY_OOP_OUTPATIENT_SERVICE,2. Random individual effect
4.276602023193642,PERIOD0,6.022720153095785,2.5304838932914997,0.8908929672561842,4.800354453762196,0,2.Diabetic (N=5508),5508,MONTHLY_OOP_OUTPATIENT_SERVICE,2. Random individual effect
3.2403973764574783,PERIOD1,5.686531121680817,0.7942636312341391,1.2480503542504509,2.596367498652395,1,2.Diabetic (N=5508),5508,MONTHLY_OOP_OUTPATIENT_SERVICE,2. Random individual effect
0,PERIOD-1,NA,NA,NA,NA,-1,2.Diabetic (N=5508),5508,MONTHLY_OOP_OUTPATIENT_SERVICE,2. Random individual effect
3.090369189682433,PERIOD-2,10.729376881502358,-4.548638502137491,3.897524521917466,0.7929056436473845,-2,3.Non-diabetic (N=306),306,MONTHLY_OOP_OUTPATIENT_SERVICE,2. Random individual effect
2.705808286824215,PERIOD0,10.350986499750988,-4.939369926102559,3.900672804822418,0.6936773275315511,0,3.Non-diabetic (N=306),306,MONTHLY_OOP_OUTPATIENT_SERVICE,2. Random individual effect
-2.3059585598398433,PERIOD1,8.736562605419266,-13.34847972509895,5.634042896890509,-0.4092902027978039,1,3.Non-diabetic (N=306),306,MONTHLY_OOP_OUTPATIENT_SERVICE,2. Random individual effect
0,PERIOD-1,NA,NA,NA,NA,-1,3.Non-diabetic (N=306),306,MONTHLY_OOP_OUTPATIENT_SERVICE,2. Random individual effect
-87.39230124768923,PERIOD-2,-60.795710167150645,-113.98889232822782,13.569938677613015,-6.440139732677241,-2,1.Overall (N=5814),5814,MONTHLY_TOTAL_PAY_OUTPATIENT_PHARMACEUTICALS,2. Random individual effect
174.65426446482522,PERIOD0,201.1804481420313,148.12808078761913,13.534015872965654,12.904836679976048,0,1.Overall (N=5814),5814,MONTHLY_TOTAL_PAY_OUTPATIENT_PHARMACEUTICALS,2. Random individual effect
58.01605075101807,PERIOD1,99.56298123283082,16.469120269205327,21.197803025733965,2.736889793748298,1,1.Overall (N=5814),5814,MONTHLY_TOTAL_PAY_OUTPATIENT_PHARMACEUTICALS,2. Random individual effect
0,PERIOD-1,NA,NA,NA,NA,-1,1.Overall (N=5814),5814,MONTHLY_TOTAL_PAY_OUTPATIENT_PHARMACEUTICALS,2. Random individual effect
-83.38714241686267,PERIOD-2,-55.746931790479906,-111.02735304324544,14.10240741381231,-5.912972159291815,-2,2.Diabetic (N=5508),5508,MONTHLY_TOTAL_PAY_OUTPATIENT_PHARMACEUTICALS,2. Random individual effect
160.72704921739438,PERIOD0,188.29896374334854,133.15513469144022,14.067561824318151,11.42536647250063,0,2.Diabetic (N=5508),5508,MONTHLY_TOTAL_PAY_OUTPATIENT_PHARMACEUTICALS,2. Random individual effect
49.85059220218085,PERIOD1,92.99196591558285,6.709218488778845,22.011309418793235,2.2647717704435366,1,2.Diabetic (N=5508),5508,MONTHLY_TOTAL_PAY_OUTPATIENT_PHARMACEUTICALS,2. Random individual effect
0,PERIOD-1,NA,NA,NA,NA,-1,2.Diabetic (N=5508),5508,MONTHLY_TOTAL_PAY_OUTPATIENT_PHARMACEUTICALS,2. Random individual effect
-86.71465041755907,PERIOD-2,4.540214103456833,-177.96951493857497,46.55945988845849,-1.8624496638341492,-2,3.Non-diabetic (N=306),306,MONTHLY_TOTAL_PAY_OUTPATIENT_PHARMACEUTICALS,2. Random individual effect
367.48830383250566,PERIOD0,458.35916466503875,276.6174429999726,46.36353603908584,7.9262354692425125,0,3.Non-diabetic (N=306),306,MONTHLY_TOTAL_PAY_OUTPATIENT_PHARMACEUTICALS,2. Random individual effect
85.67210179696721,PERIOD1,230.32604263560265,-58.98183904166822,73.80438721305458,1.160799581597413,1,3.Non-diabetic (N=306),306,MONTHLY_TOTAL_PAY_OUTPATIENT_PHARMACEUTICALS,2. Random individual effect
0,PERIOD-1,NA,NA,NA,NA,-1,3.Non-diabetic (N=306),306,MONTHLY_TOTAL_PAY_OUTPATIENT_PHARMACEUTICALS,2. Random individual effect
-1.1003356837090779,PERIOD-2,0.2650371312581412,-2.465708498676297,0.6966315839153709,-1.579508751993005,-2,1.Overall (N=5814),5814,MONTHLY_OOP_OUTPATIENT_PHARMACEUTICALS,2. Random individual effect
-0.26777121475552906,PERIOD0,1.094528774984573,-1.6300712044956311,0.6950637871337182,-0.38524696540407527,0,1.Overall (N=5814),5814,MONTHLY_OOP_OUTPATIENT_PHARMACEUTICALS,2. Random individual effect
-9.080308629454874,PERIOD1,-7.001201965087897,-11.159415293821851,1.0607881985417622,-8.559963847577997,1,1.Overall (N=5814),5814,MONTHLY_OOP_OUTPATIENT_PHARMACEUTICALS,2. Random individual effect
0,PERIOD-1,NA,NA,NA,NA,-1,1.Overall (N=5814),5814,MONTHLY_OOP_OUTPATIENT_PHARMACEUTICALS,2. Random individual effect
-1.0250030683266251,PERIOD-2,0.3920057484927604,-2.4420118851460106,0.7229769669221325,-1.417753421233158,-2,2.Diabetic (N=5508),5508,MONTHLY_OOP_OUTPATIENT_PHARMACEUTICALS,2. Random individual effect
-0.9845171220040246,PERIOD0,0.42943960503608547,-2.3984738490441346,0.7214197496450041,-1.3646938865875038,0,2.Diabetic (N=5508),5508,MONTHLY_OOP_OUTPATIENT_PHARMACEUTICALS,2. Random individual effect
-9.375199966419673,PERIOD1,-7.216280937395599,-11.534118995443748,1.101509541018791,-8.511229015545803,1,2.Diabetic (N=5508),5508,MONTHLY_OOP_OUTPATIENT_PHARMACEUTICALS,2. Random individual effect
0,PERIOD-1,NA,NA,NA,NA,-1,2.Diabetic (N=5508),5508,MONTHLY_OOP_OUTPATIENT_PHARMACEUTICALS,2. Random individual effect
2.1974935254439916,PERIOD-2,7.075920184398873,-2.6809331335108895,2.48903893001876,0.8828682825894687,-2,3.Non-diabetic (N=306),306,MONTHLY_OOP_OUTPATIENT_PHARMACEUTICALS,2. Random individual effect
7.794353987232151,PERIOD0,12.668883602283811,2.919824372180491,2.4870506057771107,3.133974825090745,0,3.Non-diabetic (N=306),306,MONTHLY_OOP_OUTPATIENT_PHARMACEUTICALS,2. Random individual effect
-9.886628887784132,PERIOD1,-2.593554231069313,-17.179703544498953,3.7210248322120525,-2.656963963851536,1,3.Non-diabetic (N=306),306,MONTHLY_OOP_OUTPATIENT_PHARMACEUTICALS,2. Random individual effect
0,PERIOD-1,NA,NA,NA,NA,-1,3.Non-diabetic (N=306),306,MONTHLY_OOP_OUTPATIENT_PHARMACEUTICALS,2. Random individual effect
-68.31184027692325,PERIOD-2,-43.474910071743764,-93.14877048210273,12.672136019380984,-5.390712360761117,-2,1.Overall (N=5814),5814,MONTHLY_TOTAL_PAY_OUTPATIENT_PHARMACEUTICALS_NON_SEMAGLUTIDE,2. Random individual effect
-71.02243619053863,PERIOD0,-46.25338251777363,-95.79148986330362,12.637504499133728,-5.619973167598639,0,1.Overall (N=5814),5814,MONTHLY_TOTAL_PAY_OUTPATIENT_PHARMACEUTICALS_NON_SEMAGLUTIDE,2. Random individual effect
-29.602624736250007,PERIOD1,9.404010699603134,-68.60926017210315,19.90171030872634,-1.4874412438447608,1,1.Overall (N=5814),5814,MONTHLY_TOTAL_PAY_OUTPATIENT_PHARMACEUTICALS_NON_SEMAGLUTIDE,2. Random individual effect
0,PERIOD-1,NA,NA,NA,NA,-1,1.Overall (N=5814),5814,MONTHLY_TOTAL_PAY_OUTPATIENT_PHARMACEUTICALS_NON_SEMAGLUTIDE,2. Random individual effect
-64.25378832289496,PERIOD-2,-38.41490870598592,-90.092667939804,13.183344092403145,-4.873861129053059,-2,2.Diabetic (N=5508),5508,MONTHLY_TOTAL_PAY_OUTPATIENT_PHARMACEUTICALS_NON_SEMAGLUTIDE,2. Random individual effect
-82.24846131847741,PERIOD0,-56.475300663464154,-108.02162197349067,13.149813393668794,-6.254724599976252,0,2.Diabetic (N=5508),5508,MONTHLY_TOTAL_PAY_OUTPATIENT_PHARMACEUTICALS_NON_SEMAGLUTIDE,2. Random individual effect
-36.21188739985518,PERIOD1,4.33601604083799,-76.75979084054835,20.688085985523138,-1.7503739797483007,1,2.Diabetic (N=5508),5508,MONTHLY_TOTAL_PAY_OUTPATIENT_PHARMACEUTICALS_NON_SEMAGLUTIDE,2. Random individual effect
0,PERIOD-1,NA,NA,NA,NA,-1,2.Diabetic (N=5508),5508,MONTHLY_TOTAL_PAY_OUTPATIENT_PHARMACEUTICALS_NON_SEMAGLUTIDE,2. Random individual effect
-56.61472059597867,PERIOD-2,25.870576457495204,-139.10001764945252,42.08510855510988,-1.3452435443250064,-2,3.Non-diabetic (N=306),306,MONTHLY_TOTAL_PAY_OUTPATIENT_PHARMACEUTICALS_NON_SEMAGLUTIDE,2. Random individual effect
88.04159636689126,PERIOD0,170.1475211270319,5.935671606750617,41.891547705866905,2.1016553741355573,0,3.Non-diabetic (N=306),306,MONTHLY_TOTAL_PAY_OUTPATIENT_PHARMACEUTICALS_NON_SEMAGLUTIDE,2. Random individual effect
12.666344979621663,PERIOD1,144.207411417256,-118.87472145801266,67.114022234701,0.18872874189132696,1,3.Non-diabetic (N=306),306,MONTHLY_TOTAL_PAY_OUTPATIENT_PHARMACEUTICALS_NON_SEMAGLUTIDE,2. Random individual effect
0,PERIOD-1,NA,NA,NA,NA,-1,3.Non-diabetic (N=306),306,MONTHLY_TOTAL_PAY_OUTPATIENT_PHARMACEUTICALS_NON_SEMAGLUTIDE,2. Random individual effect
1.365766410316856,PERIOD-2,2.5754047774348408,0.1561280431988712,0.6171737729159609,2.2129365670612016,-2,1.Overall (N=5814),5814,MONTHLY_OOP_OUTPATIENT_PHARMACEUTICALS_NON_SEMAGLUTIDE,2. Random individual effect
-8.962970194758425,PERIOD0,-7.756073780548483,-10.169866608968366,0.6157747916440236,-14.555597787347999,0,1.Overall (N=5814),5814,MONTHLY_OOP_OUTPATIENT_PHARMACEUTICALS_NON_SEMAGLUTIDE,2. Random individual effect
-9.233100158200699,PERIOD1,-7.389170044816764,-11.077030271584634,0.9407979574770873,-9.814115862837179,1,1.Overall (N=5814),5814,MONTHLY_OOP_OUTPATIENT_PHARMACEUTICALS_NON_SEMAGLUTIDE,2. Random individual effect
0,PERIOD-1,NA,NA,NA,NA,-1,1.Overall (N=5814),5814,MONTHLY_OOP_OUTPATIENT_PHARMACEUTICALS_NON_SEMAGLUTIDE,2. Random individual effect
1.3198206450840921,PERIOD-2,2.581441046351092,0.0582002438170921,0.6436957062571053,2.0503797559229464,-2,2.Diabetic (N=5508),5508,MONTHLY_OOP_OUTPATIENT_PHARMACEUTICALS_NON_SEMAGLUTIDE,2. Random individual effect
-9.417206812997282,PERIOD0,-8.158308891848067,-10.676104734146497,0.6423066602648017,-14.66154314687455,0,2.Diabetic (N=5508),5508,MONTHLY_OOP_OUTPATIENT_PHARMACEUTICALS_NON_SEMAGLUTIDE,2. Random individual effect
-9.660119212199918,PERIOD1,-7.737344739249137,-11.5828936851507,0.9810254107306977,-9.846961257613874,1,2.Diabetic (N=5508),5508,MONTHLY_OOP_OUTPATIENT_PHARMACEUTICALS_NON_SEMAGLUTIDE,2. Random individual effect
0,PERIOD-1,NA,NA,NA,NA,-1,2.Diabetic (N=5508),5508,MONTHLY_OOP_OUTPATIENT_PHARMACEUTICALS_NON_SEMAGLUTIDE,2. Random individual effect
5.489049444880359,PERIOD-2,9.195245297610967,1.7828535921497513,1.8909509980614994,2.902798354112526,-2,3.Non-diabetic (N=306),306,MONTHLY_OOP_OUTPATIENT_PHARMACEUTICALS_NON_SEMAGLUTIDE,2. Random individual effect
-3.927635761282048,PERIOD0,-0.22900581971023426,-7.626265702853862,1.8870907683743865,-2.081317882056869,0,3.Non-diabetic (N=306),306,MONTHLY_OOP_OUTPATIENT_PHARMACEUTICALS_NON_SEMAGLUTIDE,2. Random individual effect
-6.0851267637397015,PERIOD1,-0.41627791358351107,-11.753975613895893,2.8923229686215404,-2.1038890987474432,1,3.Non-diabetic (N=306),306,MONTHLY_OOP_OUTPATIENT_PHARMACEUTICALS_NON_SEMAGLUTIDE,2. Random individual effect
0,PERIOD-1,NA,NA,NA,NA,-1,3.Non-diabetic (N=306),306,MONTHLY_OOP_OUTPATIENT_PHARMACEUTICALS_NON_SEMAGLUTIDE,2. Random individual effect
-78.50901833579064,PERIOD-2,-25.66848548339145,-131.34955118818982,26.959950932363345,-2.912060876251322,-2,1.Overall (N=5814),5814,MONTHLY_TOTAL_PAY_INPATIENT,2. Random individual effect
172.72348363822482,PERIOD0,225.5852212438989,119.86174603255074,26.970769882834954,6.404099118733406,0,1.Overall (N=5814),5814,MONTHLY_TOTAL_PAY_INPATIENT,2. Random individual effect
291.72954096125255,PERIOD1,357.3015343052134,226.15754761729173,33.45571340146266,8.719872072687542,1,1.Overall (N=5814),5814,MONTHLY_TOTAL_PAY_INPATIENT,2. Random individual effect
0,PERIOD-1,NA,NA,NA,NA,-1,1.Overall (N=5814),5814,MONTHLY_TOTAL_PAY_INPATIENT,2. Random individual effect
-76.51165309769573,PERIOD-2,-24.037638175310626,-128.98566802008082,26.772948552265987,-2.8577970389899394,-2,2.Diabetic (N=5508),5508,MONTHLY_TOTAL_PAY_INPATIENT,2. Random individual effect
180.27833408467748,PERIOD0,232.7609387251162,127.79572944423876,26.77733114200813,6.732498213829003,0,2.Diabetic (N=5508),5508,MONTHLY_TOTAL_PAY_INPATIENT,2. Random individual effect
295.45663911310214,PERIOD1,360.77887743205747,230.13440079414679,33.32828502677032,8.86504177685057,1,2.Diabetic (N=5508),5508,MONTHLY_TOTAL_PAY_INPATIENT,2. Random individual effect
0,PERIOD-1,NA,NA,NA,NA,-1,2.Diabetic (N=5508),5508,MONTHLY_TOTAL_PAY_INPATIENT,2. Random individual effect
-60.068294830134356,PERIOD-2,295.0188350275783,-415.15542468784696,181.1702320341571,-0.3315571998539436,-2,3.Non-diabetic (N=306),306,MONTHLY_TOTAL_PAY_INPATIENT,2. Random individual effect
-9.120705875745891,PERIOD0,347.3561163233048,-365.59752807479657,181.8792717676929,-0.050147033178115,0,3.Non-diabetic (N=306),306,MONTHLY_TOTAL_PAY_INPATIENT,2. Random individual effect
173.35193676200032,PERIOD1,622.7883124116161,-276.0844388876155,229.3084868878779,0.7559769771921353,1,3.Non-diabetic (N=306),306,MONTHLY_TOTAL_PAY_INPATIENT,2. Random individual effect
0,PERIOD-1,NA,NA,NA,NA,-1,3.Non-diabetic (N=306),306,MONTHLY_TOTAL_PAY_INPATIENT,2. Random individual effect
2.3827305623600155,PERIOD-2,4.160570222209969,0.6048909025100613,0.9070777187097963,2.626820737862627,-2,1.Overall (N=5814),5814,MONTHLY_OOP_INPATIENT,2. Random individual effect
-0.05753419633219925,PERIOD0,1.7214731819361018,-1.8365415746005005,0.9076735043607357,-0.06338644463652153,0,1.Overall (N=5814),5814,MONTHLY_OOP_INPATIENT,2. Random individual effect
-1.3078798254421609,PERIOD1,0.8484974323033028,-3.4642570831876247,1.1002126951080187,-1.188751803408116,1,1.Overall (N=5814),5814,MONTHLY_OOP_INPATIENT,2. Random individual effect
